Use Case ID,Use Case Name,Agency,Bureau/Component/Division/Branch,Contact Name,Contact Email Address,Use Case Topic Area,Is the AI use case found in Appendix B’s list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
DOJ-0155,InterQual,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Health & Medical,None,"Purpose: Data entered is analyzed to determine if an inmate needs a medical procedure.

Expected benefits: To streamline and assist in medical procedure decisions.","Provides a decision option, however, a medical doctor can chose to use the decision provided or override it.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0156,Medical Claims Adjudication,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Health & Medical,None,"Purpose: FBOP uses Quantum Choice to adjudicate medical claims and analyze system data.

Expected benefits: Cost savings and increased compliance with billing regulations and contract pricing terms.  It also provides data analysis to assist with the FBOP's mission.",Medical Billing Payment decisions are made utilizing the AI.,Implementation and Assessment – The AI system associated with the use case is currently undergoing functionality and security testing.,Rights Impacting
DOJ-0157,Medical Designations Calculator,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Health & Medical,None,"Purpose: Initial assessment of medical and mental health care levels.

Expected benefits: Reducing the time to determine a final medical and mental health care level.",A medical and mental health care level score (1-4),"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0158,NLETs Arrest Classification,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Uses statistical techniques to classify text descriptions of arrests.

Expected benefits: Accurate classification of arrests records and proper monitoring of recidivism.",Classifies arrests into offense types,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0159,Pathfinder,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Education & Workforce,None,"Purpose: To assist FBOP employees with career pathways. The system generates assessments based on user input.  It scores the assessments taken to provide a user with options for career pathways.

Expected benefits: Improved understanding of career pathways.",Provides employees with career recommendations based on assessments.,Implementation and Assessment – The AI system associated with the use case is currently undergoing functionality and security testing.,Rights Impacting
DOJ-0160,Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN),Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This tool, developed by OJP, uses pre-defined rules to score an inmate's recidivism risk level.

Expected benefits: PATTERN provides a standardized approach to calculating a recidivism risk level.",A recidivism risk score.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0161,Psychological Test Interpretation - Pearson Assessments,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Health & Medical,None,"Purpose: Psychological test interpretation assistance.

Expected benefits: Assistance during psychological evaluations and treatment planning.",Interpretive reports.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0162,reCAPTCHA,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: FBOP uses reCAPTCHA to distinguish between a human and bot request to determine whether to allow the request to be submitted via email to the FOIA office.

Expected benefits: It provides verification and security to  website.",Determination of whether the request is coming from a human or bot to allow the request to be submitted via email to the FOIA office.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0163,Static-99 Sex Offender Data System (SODS),Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Static-99 is used as one data point in a 10 point manual process to evaluate FBOP sex offender's risk for recidivism. The tool uses pre-defined rules to score an inmate's recidivism risk level.

Expected benefits: To assist the evaluator in the recidivism risk review process by providing a key data point used in the overall evaluation.  ",A score indicating the inmate's risk for recidivism of a sexual offense.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0164,The R Project for Statistical Computing,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Software includes predictive procedures, modeling procedures, forecasting, text analytics, natural language processing, and other AI capabilities. FBOP uses this tool to analyze data and provide assessments that affect decisions made by FBOP.

Expected benefits: More efficient data analysis.",Recommendations from data analysis,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
