service,category,confidence,reasoning,signals,model,input_hash,classified_at,source
AWS Web Application Firewall Classic (WAF Classic),not_ai,high,"Legacy WAF offering; rule-based, not AI.","[""WAF Classic"", ""firewall""]",claude-sonnet-5,56a5d0b8b95a22d3,2026-07-04T21:37:29Z,llm
AWS Well-Architected Tool,not_ai,high,Self-assessment/architecture review tool using static best-practice checklists; not AI.,"[""Well-Architected Tool""]",claude-sonnet-5,4b7b933c7e64e0f3,2026-07-04T21:37:29Z,llm
AWS Wickr,not_ai,high,End-to-end encrypted messaging/collaboration app; not AI.,"[""Wickr"", ""messaging""]",claude-sonnet-5,fbd2e32b3dc97923,2026-07-05T01:56:37Z,qc_confirmed
AWS X-Ray,not_ai,high,Distributed tracing/observability service for debugging applications; not AI.,"[""X-Ray"", ""tracing""]",claude-sonnet-5,85ad86f6ca8adcc8,2026-07-04T21:37:29Z,llm
Access & Hub Services,not_ai,high,Part of Omnissa Workspace ONE endpoint/device management; not an AI capability.,"[""Workspace ONE"", ""endpoint management""]",claude-sonnet-5,e2b35bbff8b4eacb,2026-07-04T21:37:29Z,llm
Access Approval*,not_ai,high,"Google Cloud IAM feature that requires explicit approval before Google support accesses customer data; access-control, not AI.","[""Access Approval"", ""Google Services""]",claude-sonnet-5,5e2e9c7ed0f8ab26,2026-07-04T21:37:29Z,llm
Access Context Manager,not_ai,high,Google Cloud service for defining context-aware access-control perimeters; not AI.,"[""Access Context Manager"", ""GCP""]",claude-sonnet-5,037fdefd66e90aec,2026-07-04T21:37:29Z,llm
Access Transparency,not_ai,high,Google Cloud audit-logging feature showing admin access actions; not AI.,"[""Access Transparency"", ""logging""]",claude-sonnet-5,d89bfb3626f8fc6f,2026-07-04T21:37:29Z,llm
Aconex Mobile is also available on both iOS and Android devices providing Field capabilities for Inspection Management (Punchlists) and Issue Management,not_ai,high,Mobile app for construction document/issue management; not AI.,"[""Aconex Mobile"", ""Inspection Management"", ""Issue Management""]",claude-sonnet-5,4f71c8a93c1f958b,2026-07-04T21:37:29Z,llm
Acquisition In a Box,ai_featured,medium,"A packaged acquisition-workflow offering built on the Ask Sage generative-AI platform, which the host description confirms is a multi-model GenAI service; the named capability is an application on top rather than a model itself.","[""Ask Sage"", ""Generative AI platform"", ""GPT"", ""Bedrock Gov""]",claude-sonnet-5,be0e04edbd731e1e,2026-07-05T01:56:37Z,qc_confirmed
Acsense IAM Resilience Platform,not_ai,high,IAM continuity/resilience platform for identity infrastructure failover; not AI.,"[""IAM Resilience"", ""Knox Systems""]",claude-sonnet-5,18522f723dcfa986,2026-07-05T01:56:37Z,qc_confirmed
Action (Officer Action Reporting),not_ai,high,NEOGOV HR/workforce-management reporting module; not AI.,"[""Officer Action Reporting"", ""NEOGOV""]",claude-sonnet-5,5cee8b87dfb0b5ce,2026-07-04T21:37:29Z,llm
"Active Directory and Active Directory Federation Services (Single-Sign On, Certificate MFA)",not_ai,high,Identity/SSO/MFA infrastructure; not AI.,"[""Active Directory"", ""Single-Sign On"", ""MFA""]",claude-sonnet-5,2587afacdf3f8f23,2026-07-04T21:37:29Z,llm
"Active Directory and Active Directory Federation Services (Single-Sign On, Certificate/TOTP MFA)",not_ai,high,Identity/SSO/MFA infrastructure; not AI.,"[""Active Directory"", ""Single-Sign On"", ""TOTP MFA""]",claude-sonnet-5,8184e7aacedf498e,2026-07-05T01:56:37Z,qc_confirmed
Address validation,not_ai,medium,"A mailing/shipping address-verification feature within a mail-management suite, typically rule/database (USPS) driven rather than ML-based.","[""Address validation"", ""S.M.A.R.T."", ""Shipping, Mailing""]",claude-sonnet-5,b9c6093eeb6b7d80,2026-07-04T21:37:29Z,llm
Admin Config Service,not_ai,high,Splunk Cloud administrative configuration component; not AI.,"[""Admin Config"", ""Splunk Cloud""]",claude-sonnet-5,46c542d87cf88bb2,2026-07-04T21:37:29Z,llm
Admin Console,not_ai,high,Google Workspace/Cloud administrative management console; not AI.,"[""Admin Console"", ""Google Services""]",claude-sonnet-5,337f331e35b8b39c,2026-07-05T01:56:37Z,qc_confirmed
"Admin SDK: Admin Settings API, Apps Email Audit API, Calendar Resource API, Directory API (replaced Provisioning API), Domain Shared Contacts API, Email Settings API, Enterprise License Manager API, Groups Migration API, Groups Settings API, Reports API, Reseller API",not_ai,high,Bundle of Google Workspace administrative/directory management APIs; not AI.,"[""Admin SDK"", ""Directory API"", ""Reports API""]",claude-sonnet-5,96f911d13df7fd4f,2026-07-04T21:37:29Z,llm
Adobe Connect,not_ai,high,Web conferencing/webinar platform; not AI.,"[""Adobe Connect"", ""web conferencing""]",claude-sonnet-5,279380dcf615f26b,2026-07-04T21:37:29Z,llm
Adobe LM,not_ai,high,License manager component for Adobe Connect; not AI.,"[""Adobe LM"", ""License""]",claude-sonnet-5,4f8a83bb130219bd,2026-07-04T21:37:29Z,llm
Advance Workflow Management,not_ai,high,RegScale GRC workflow/automation module for compliance processes; not AI.,"[""Workflow Management"", ""RegScale"", ""GRC""]",claude-sonnet-5,de30861f73a366a8,2026-07-04T21:37:29Z,llm
Advanced Care,not_ai,high,A premium support tier within Concur's travel/expense product; not AI.,"[""Concur"", ""travel and expense""]",claude-sonnet-5,3dec77ecbe2b012a,2026-07-04T21:37:29Z,llm
Advanced Ticketing Integrations*,not_ai,high,"PagerDuty integrations with external ticketing systems; integration plumbing, not AI.","[""Ticketing Integrations"", ""PagerDuty""]",claude-sonnet-5,c8e3e954f152954a,2026-07-04T21:37:29Z,llm
Advanced and Scalable Incident Handling,not_ai,medium,General incident-response/orchestration capability; the name and snippet reference event orchestration but do not clearly indicate an ML-driven core feature.,"[""Incident Handling"", ""event orchestration"", ""PagerDuty""]",claude-sonnet-5,5d8fe4822b2264fc,2026-07-05T01:56:37Z,qc_confirmed
Agent Assist,core_ai,high,"Google Cloud Contact Center AI's Agent Assist provides real-time ML/NLP-based suggestions to live support agents, a core conversational-AI capability.","[""Agent Assist"", ""Google Services""]",claude-sonnet-5,c94a32dd4b92504d,2026-07-05T01:56:37Z,qc_confirmed
Agent Search on Gemini Enterprise Agent Platform (formerly Vertex AI Search),core_ai,high,"Explicitly named as part of Google's Gemini Enterprise Agent Platform and Vertex AI Search, an LLM/semantic-search and agent-building product.","[""Gemini Enterprise Agent Platform"", ""Vertex AI Search""]",claude-sonnet-5,ef4b5cf2d9beadfa,2026-07-05T01:56:37Z,qc_confirmed
Agentforce,core_ai,high,Salesforce's autonomous AI agent-building platform; a core agentic-AI product.,"[""Agentforce"", ""Salesforce""]",claude-sonnet-5,07055978f2bdbebb,2026-07-05T01:56:37Z,qc_confirmed
Air Gap Protection Hybrid cloud for Commvault Complete™ and HyperScale™ X deployments,not_ai,high,Backup/air-gapped data-resilience storage offering; not AI.,"[""Air Gap Protection"", ""Commvault"", ""backup and recovery""]",claude-sonnet-5,dca87265de2edc07,2026-07-04T21:37:29Z,llm
Alert Deduplication,not_ai,medium,"Alert-management feature in PagerDuty's operations platform; described generically without ML specifics, so treated as rule-based deduplication rather than a distinct AI capability.","[""Alert Deduplication"", ""PagerDuty""]",claude-sonnet-5,4c0c1007b49e409f,2026-07-04T21:37:29Z,llm
Alert Severity,not_ai,high,Alert classification/labeling feature within incident management; not AI.,"[""Alert Severity"", ""PagerDuty""]",claude-sonnet-5,5a5ab68c16536021,2026-07-04T21:37:29Z,llm
Alert Suppression,not_ai,high,Rule-based alert filtering feature; not AI.,"[""Alert Suppression"", ""PagerDuty""]",claude-sonnet-5,ff13b80cdd866e5c,2026-07-04T21:37:29Z,llm
Alert Triage & Deduplication,not_ai,medium,"Alert-management capability in PagerDuty; name suggests automation but lacks explicit ML/AI evidence, so classified conservatively as not_ai.","[""Alert Triage"", ""Deduplication"", ""PagerDuty""]",claude-sonnet-5,71ff6e26bb4b1130,2026-07-05T01:56:37Z,qc_confirmed
Alerting,not_ai,high,Standard alerting/notification feature within Qlik's analytics platform; not itself an AI capability.,"[""Alerting"", ""Qlik Cloud""]",claude-sonnet-5,313e08ff4f8f3817,2026-07-04T21:37:29Z,llm
Allocore ULP-UGP-UFP Software,not_ai,high,HR/workforce management software product; not AI.,"[""Allocore"", ""HRTec""]",claude-sonnet-5,f53c2a83d8280508,2026-07-05T01:56:37Z,qc_confirmed
Amazon API Gateway,not_ai,high,Managed API front-end/routing service; not AI.,"[""API Gateway""]",claude-sonnet-5,24c1ba76d91e112c,2026-07-04T21:37:29Z,llm
Amazon AppFlow,not_ai,high,Managed data-integration service between SaaS apps and AWS; not AI.,"[""AppFlow"", ""data integration""]",claude-sonnet-5,90123c5131780599,2026-07-04T21:37:29Z,llm
Amazon Athena,not_ai,high,Serverless interactive SQL query service over S3 data; no ML/AI component.,"[""query service"", ""SQL""]",claude-sonnet-5,ca4c605e8c1b8495,2026-07-04T21:37:29Z,llm
Amazon Aurora MySQL,not_ai,high,Managed relational database engine; plain data storage/compute.,"[""database"", ""MySQL""]",claude-sonnet-5,adb613239db557f4,2026-07-04T21:37:29Z,llm
Amazon Aurora PostgreSQL,not_ai,high,Managed relational database engine; plain data storage/compute.,"[""database"", ""PostgreSQL""]",claude-sonnet-5,8df999336c675909,2026-07-04T21:37:29Z,llm
Amazon Bedrock,core_ai,high,Fully managed foundation-model hosting and inference service; core generative AI/LLM platform.,"[""Bedrock"", ""foundation model"", ""LLM hosting""]",claude-sonnet-5,46021582a5e6e0b5,2026-07-05T01:56:37Z,qc_confirmed
Amazon Chime SDK,not_ai,high,Video/voice/messaging communications SDK; not an AI capability.,"[""SDK"", ""video/voice communications""]",claude-sonnet-5,254d7c05f268d566,2026-07-04T21:37:29Z,llm
Amazon Cloud Directory,not_ai,high,Hierarchical directory data store service; plain data structure hosting.,"[""directory"", ""data store""]",claude-sonnet-5,882a63e1c6fe68d6,2026-07-04T21:37:29Z,llm
Amazon CloudFront,not_ai,high,"Content delivery network (CDN); networking/edge caching, no AI.","[""CDN"", ""content delivery""]",claude-sonnet-5,17f1630b207421b1,2026-07-04T21:37:29Z,llm
Amazon CloudWatch,not_ai,high,"Monitoring and observability service; metrics/dashboards, not ML-driven.","[""monitoring"", ""metrics""]",claude-sonnet-5,989050ffb08a59a6,2026-07-04T21:37:29Z,llm
Amazon CloudWatch Logs,not_ai,high,Log aggregation and storage component of CloudWatch; plain logging.,"[""logging""]",claude-sonnet-5,197f93004156b5b1,2026-07-04T21:37:29Z,llm
Amazon Cognito,not_ai,high,Identity and access management / user authentication service.,"[""Cognito"", ""identity"", ""authentication""]",claude-sonnet-5,987b3405f8efbddf,2026-07-04T21:37:29Z,llm
Amazon Comprehend,core_ai,high,"Natural language processing API for entity extraction, sentiment, and text analysis.","[""NLP"", ""Comprehend"", ""text analysis""]",claude-sonnet-5,2b1279daa9ca24ae,2026-07-05T01:56:37Z,qc_confirmed
Amazon Comprehend Medical,core_ai,high,NLP service specialized for extracting medical information from unstructured clinical text.,"[""NLP"", ""medical text extraction""]",claude-sonnet-5,889fb4356c219e63,2026-07-05T01:56:37Z,qc_confirmed
Amazon Connect,ai_featured,medium,"Cloud contact center platform whose core is call routing/telephony, but it ships embedded ML features (Contact Lens sentiment/transcription analysis, AI agent assist) as material product capability.","[""contact center"", ""Contact Lens"", ""sentiment analysis""]",claude-sonnet-5,1bd7d710ba58b80d,2026-07-05T02:04:54Z,qc_confirmed
Amazon Data Firehose,not_ai,high,Streaming data delivery/ETL pipeline service; no ML component.,"[""data streaming"", ""delivery""]",claude-sonnet-5,a9c7e12f06be311d,2026-07-05T01:56:37Z,qc_confirmed
Amazon DataZone,not_ai,low,"Primarily a data governance/cataloging and data-sharing service; any ML-assisted metadata suggestions are a minor, secondary aspect of the product.","[""data catalog"", ""governance"", ""data sharing""]",claude-sonnet-5,9c00459f36d5e9da,2026-07-05T01:56:37Z,qc_confirmed
Amazon Detective,ai_featured,medium,Security investigation service that uses ML and graph analysis to build behavior baselines and surface anomalies for root-cause analysis.,"[""security analytics"", ""behavior graph"", ""ML-based investigation""]",claude-sonnet-5,9556d7dab3548f60,2026-07-05T01:56:37Z,qc_confirmed
Amazon DevOps Guru,ai_featured,medium,"Operational monitoring product whose core mechanism is ML-based anomaly detection over application/infrastructure telemetry, analogous to ML-driven security analytics.","[""machine learning"", ""anomaly detection"", ""operational insights""]",claude-sonnet-5,fe05e28f3506692e,2026-07-05T02:04:54Z,qc_confirmed
Amazon DocumentDB (with MongoDB compatibility),not_ai,high,Managed document database compatible with MongoDB; plain data storage.,"[""database"", ""MongoDB compatible""]",claude-sonnet-5,2da8a32623935898,2026-07-04T21:37:29Z,llm
Amazon DynamoDB,not_ai,high,Managed NoSQL key-value database; no AI component.,"[""NoSQL database""]",claude-sonnet-5,4d9e28380b5a544e,2026-07-04T21:37:29Z,llm
Amazon EC2 Image Builder,not_ai,high,Automates creation/maintenance of VM/container images; not AI-related.,"[""image building"", ""automation""]",claude-sonnet-5,62a434bf1e77d360,2026-07-04T21:37:29Z,llm
Amazon ElastiCache,not_ai,high,Managed in-memory caching service (Redis/Memcached); no AI.,"[""caching"", ""in-memory""]",claude-sonnet-5,da35cc701245fe91,2026-07-04T21:37:29Z,llm
Amazon Elastic Block Store (EBS),not_ai,high,Block storage volumes for EC2; plain storage infrastructure.,"[""block storage""]",claude-sonnet-5,3f2c6315e4c22df7,2026-07-04T21:37:29Z,llm
Amazon Elastic Compute Cloud (EC2),not_ai,high,General-purpose virtual compute service (IaaS); no inherent AI capability.,"[""compute"", ""IaaS"", ""virtual machines""]",claude-sonnet-5,10a8ec262697c785,2026-07-04T21:37:29Z,llm
Amazon Elastic Container Registry (ECR),not_ai,high,Container image registry; storage/distribution of container images.,"[""container registry""]",claude-sonnet-5,2b01b8aca092efda,2026-07-04T21:37:29Z,llm
Amazon Elastic Container Service (ECS),not_ai,high,"Container orchestration service; compute infrastructure, no AI.","[""container orchestration""]",claude-sonnet-5,35f147b67d5e52e6,2026-07-04T21:37:29Z,llm
Amazon Elastic File System (EFS),not_ai,high,Managed network file storage; plain storage infrastructure.,"[""file storage""]",claude-sonnet-5,ea38438e77b21141,2026-07-05T01:56:37Z,qc_confirmed
Amazon Elastic Kubernetes Service (EKS),not_ai,high,"Managed Kubernetes container orchestration; compute infrastructure, no AI.","[""Kubernetes"", ""container orchestration""]",claude-sonnet-5,52f125909f703f66,2026-07-04T21:37:29Z,llm
Amazon Elastic MapReduce (EMR),not_ai,high,"Managed big-data processing framework (Spark/Hadoop); a data processing platform, not itself an AI product.","[""big data"", ""Spark/Hadoop""]",claude-sonnet-5,6c3814d57eb01257,2026-07-04T21:37:29Z,llm
Amazon EventBridge,not_ai,high,Serverless event bus for application integration; no AI component.,"[""event bus"", ""integration""]",claude-sonnet-5,0a92065785cafab4,2026-07-04T21:37:29Z,llm
Amazon FSx,not_ai,high,Managed file system service (Windows/Lustre/NetApp/OpenZFS); plain storage.,"[""file system"", ""storage""]",claude-sonnet-5,11fbb1eef7e9cf3c,2026-07-05T01:56:37Z,qc_confirmed
