"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
NASA-148,M4OPT: Multi-Mission Multi-Messenger Observation Planning Toolkit,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"M4OPT: Multi-Mission Multi-Messenger Observation Planning Toolkit. This work includes considerations for data integration and use across multiple Science missions and leveraging multiple sensors, suitable for traditional human or AIML-assisted analysis.",M4OPT: Multi-Mission Multi-Messenger Observation Planning Toolkit,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-149,Machine Intelligence for Small Satellites,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The MAtISSE project seeks to develop a new approach to rapid, real-time extraction and classification of photometric light curves using a modern differencing technique and advanced DL integrated onto a compact graphics processing unit. ","MAtISSE will develop this technique, which has the potential to greatly reduce the amount of data transmitted by an observatory, for implementation on a future CubeSat-based science payload with a thorough assessment of power requirements vs. processing and communications bandwidth. This technology will be especially applicable to small, power-limited spacecraft and may enable observations and science return that would be challenging or even impossible otherwise. ",Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-154,Machine Learning of Ocean Worlds Laboratory Analog Seawater Volatiles,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This work focuses on algorithm-development for software that can predict the composition of an ocean using mass spectra of volatile gases analyzed.,"Development specific for ocean worlds exploration (e.g., Europa / Enceladus), but applicable for Earth.",composition of an ocean,,,,,,,,,,,,,,,,,,,,,
NASA-161,MERRAMax Automated feature selection,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"There is growing interest in using Intergovernmental Panel on Climate Change (IPCC)-class climate model outputs in ecological research. These models provide realistic, global representations of the climate system, projections for hundreds of variables (including Essential Climate Variables), and combine observations from an array of satellite, airborne, and in-situ sensors. Unfortunately, direct use of this important class of data has been limited due to the large size and complexity of model output collections, internal file complexity, and limited means for dynamically creating derived products of interest. To address these limitations, we have developed an AI-based stochastic convergence technology, called MERRA/Max, that combines HPC and Princeton's Maximum Entropy (MaxEnt) software to rapidly subset and identify potential drivers of change among the hundreds of variables in a climate model output collection. MERRA/Max reduces dimensionality by iteratively drawing on MaxEnt's capacity for feature selection to winnow randomly selected climate variables until a stable set of predictors is found. Preliminary work focuses on the MERRA reanalysis, a product of NASA's GEOS-5 modeling framework. At 1 petabyte in size, MERRA comprises over 700 climate variables and spans 1970 to the present at high temporal resolution. We evaluated MERRA/Max by modeling the bioclimatic envelope of Cassin's Sparrow using MERRA and BioClim variables.",MERRAMax Automated feature selection,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-166,Multi-temporal analytic center framework,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Multi-temporal analytic center framework. This is an integrating mechanism rather than a specific AI or ML technology.,Multi-temporal analytic center framework,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-169,"Optimization of Machine Learning Algorithms for Lidar to Detect Aerosols, Clouds, and the PBL (Planetary Boundary Layer)",GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Optimization of Machine Learning Algorithms for Lidar to Detect Aerosols, Clouds, and the PBL (Planetary Boundary Layer)","Understanding aerosol and cloud conditions can enhance analysis of the Earth's climate system and this work uses ML to enhance signal to noise ratios, detect atmospheric features, and more.",Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-171,"Parameter estimation, emulator building, model tuning and sensitivity analysis of the ocean carbon cycle using  ML",GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This work explores neural networks and other ML techniques for Earth Science topics and data sets related to global carbon cycle, ocean circulation, air-sea interactions and climate variability.","Parameter estimation, emulator building, model tuning and sensitivity analysis of the ocean carbon cycle using  ML",Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-172,PIC-ASIC Spectrometer Demonstration for Ultrawideband and Hyperspectral Microwave Sounding,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This family of technologies can provide extremely small multi-sensor capabilities in areas such as ultrawideband and hyperspectral sensing.,PIC-ASIC Spectrometer Demonstration for Ultrawideband and Hyperspectral Microwave Sounding,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-175,Portable flow inferencing device using Fourier Ptychography and Deep Learning for detection of biosignatures,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,This work is on a portable flow inferencing device using Fourier Ptychography and Deep Learning for detection of biosignatures based on sensors from NASA space probes.,Portable flow inferencing device using Fourier Ptychography and Deep Learning for detection of biosignatures,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-182,RAMjET: RApid Machine lEarned Triage - AI to classify astrophysical phenomena in photometric lightcurves,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The MAtISSE project seeks to develop a new approach to rapid, real-time extraction and classification of photometric light curves using a modern differencing technique and advanced DL integrated onto a compact graphics processing unit. ","MAtISSE will develop this technique, which has the potential to greatly reduce the amount of data transmitted by an observatory, for implementation on a future CubeSat-based science payload with a thorough assessment of power requirements vs. processing and communications bandwidth. This technology will be especially applicable to small, power-limited spacecraft and may enable observations and science return that would be challenging or even impossible otherwise. ",Predictions,,,,,,,,,,,,,,,,,,,,,
